event_id,category_id,title,closed,link
EONET_19937,wildfires,"HWY 41 Wildfire, Miami-Dade, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19937
EONET_20103,volcanoes,"Rincon de la Vieja Volcano, Costa Rica",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20103
EONET_20100,wildfires,"Quivira RX Prescribed Fire, Stafford, Kansas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20100
EONET_19913,wildfires,"Tucker Wildfire, Hooker, Nebraska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19913
EONET_19914,wildfires,"Tyndall 469 &amp; 143 RX Prescribed Fire, Mason, Michigan",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19914
EONET_20102,volcanoes,"Masaya Volcano, Nicaragua",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20102
EONET_19916,wildfires,"Yellow Bank East RX Prescribed Fire, Lac qui Parle, Minnesota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19916
EONET_20188,wildfires,"YTA Stuart Creek Rx Prescribed Fire, Fairbanks North Star, Alaska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20188
EONET_20203,wildfires,"FWA Small Arms Complex Rx Prescribed Fire, Southeast Fairbanks, Alaska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20203
EONET_20068,wildfires,"DTAW Oklahoma Rx Prescribed Fire, Southeast Fairbanks, Alaska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20068
EONET_20067,wildfires,"DTAE Jarvis Rx Prescribed Fire, Southeast Fairbanks, Alaska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20067
EONET_20010,wildfires,"DTAE Bolio Rx Prescribed Fire, Southeast Fairbanks, Alaska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20010
EONET_19910,wildfires,"Poitrey Canyon Wildfire, Las Animas, Colorado",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19910
EONET_19917,wildfires,"Thomas Ranch Fire Wildfire, Sully, South Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19917
EONET_19912,wildfires,"rx-Kimberly Clark NW Prescribed Fire, Price, Wisconsin",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19912
EONET_19919,wildfires,"RX Blanchard 1 Prescribed Fire, Stone, Arkansas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19919
EONET_19840,wildfires,"rx-66 Prescribed Fire, Burnett, Wisconsin",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19840
EONET_20011,wildfires,"Lemon 2 Wildfire, Benson, North Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20011
EONET_19839,wildfires,"Bauman Wildfire, Jackson, South Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19839
EONET_19832,wildfires,"Baldwin Fuels 6 RX Prescribed Fire, Lake, Michigan",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19832
EONET_19911,wildfires,"FB 17 Wildfire, Todd, South Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19911
EONET_19843,wildfires,"Peterson Wildfire, Holt, Nebraska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19843
EONET_19844,wildfires,"Andrews Wildfire, Cherry, Nebraska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19844
EONET_19841,wildfires,"Hammer Wildfire, El Paso, Colorado",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19841
EONET_19838,wildfires,"Taber Rec Wildfire, Bon Homme, South Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19838
